Date	Close
1975-01-03	634.54
1975-01-10	658.79
1975-01-17	644.63
1975-01-24	666.61
1975-01-31	703.69
1975-02-07	711.91
1975-02-14	734.2
1975-02-21	749.77
1975-02-28	739.05
1975-03-07	770.1
1975-03-14	773.47
1975-03-21	763.06
1975-03-28	770.26
1975-04-04	747.26
1975-04-11	789.5
1975-04-18	808.43
1975-04-25	811.8
1975-05-02	848.48
1975-05-09	850.13
1975-05-16	837.61
1975-05-23	831.9
1975-05-30	832.29
1975-06-06	839.64
1975-06-13	824.47
1975-06-20	855.44
1975-06-27	873.12
1975-07-04	871.79
1975-07-11	871.09
1975-07-18	862.41
1975-07-25	834.09
1975-08-01	826.5
1975-08-08	817.74
1975-08-15	825.64
1975-08-22	804.76
1975-08-29	835.34
1975-09-05	835.97
1975-09-12	809.23
1975-09-19	829.79
1975-09-26	818.6
1975-10-03	813.21
1975-10-10	823.91
1975-10-17	832.18
1975-10-24	840.52
1975-10-31	836.04
1975-11-07	835.8
1975-11-14	853.67
1975-11-21	840.76
1975-11-28	860.67
1975-12-05	818.8
1975-12-12	832.81
1975-12-19	844.38
1975-12-26	859.81
1976-01-02	858.71
1976-01-09	911.13
1976-01-16	929.63
1976-01-23	953.95
1976-01-30	975.28
1976-02-06	954.9
1976-02-13	958.36
1976-02-20	987.8
1976-02-27	972.61
1976-03-05	972.92
1976-03-12	987.64
1976-03-19	979.85
1976-03-26	1003.46
1976-04-02	991.58
1976-04-09	968.28
1976-04-16	980.48
1976-04-23	1000.71
1976-04-30	996.85
1976-05-07	996.22
1976-05-14	992.6
1976-05-21	990.75
1976-05-28	975.23
1976-06-04	963.9
1976-06-11	978.8
1976-06-18	1001.88
1976-06-25	999.84
1976-07-02	999.84
1976-07-09	1003.11
1976-07-16	993.21
1976-07-23	990.91
1976-07-30	984.64
1976-08-06	986
1976-08-13	990.19
1976-08-20	974.07
1976-08-27	963.93
1976-09-03	989.11
1976-09-10	988.36
1976-09-17	995.1
1976-09-24	1009.31
1976-10-01	979.89
1976-10-08	952.38
1976-10-15	937
1976-10-22	938.75
1976-10-29	964.93
1976-11-05	943.07
1976-11-12	927.69
1976-11-19	948.8
1976-11-26	956.62
1976-12-03	950.55
1976-12-10	973.15
1976-12-17	979.06
1976-12-24	985.62
1976-12-31	1004.65
1977-01-07	983.13
1977-01-14	972.16
1977-01-21	962.43
1977-01-28	957.53
1977-02-04	947.89
1977-02-11	931.52
1977-02-18	940.24
1977-02-25	933.43
1977-03-04	953.46
1977-03-11	947.72
1977-03-18	961.02
1977-03-25	928.86
1977-04-01	927.36
1977-04-08	918.88
1977-04-15	947.76
1977-04-22	927.07
1977-04-29	926.9
1977-05-06	936.74
1977-05-13	928.34
1977-05-20	930.46
1977-05-27	898.83
1977-06-03	912.23
1977-06-10	910.79
1977-06-17	920.45
1977-06-24	929.7
1977-07-01	912.65
1977-07-08	907.99
1977-07-15	905.95
1977-07-22	923.42
1977-07-29	890.07
1977-08-05	888.69
1977-08-12	871.1
1977-08-19	863.48
1977-08-26	855.42
1977-09-02	872.31
1977-09-09	857.04
1977-09-16	856.81
1977-09-23	839.14
1977-09-30	847.11
1977-10-07	840.35
1977-10-14	821.64
1977-10-21	808.3
1977-10-28	822.68
1977-11-04	809.94
1977-11-11	845.89
1977-11-18	835.76
1977-11-25	844.42
1977-12-02	823.98
1977-12-09	815.23
1977-12-16	815.32
1977-12-23	829.87
1977-12-30	831.17
1978-01-06	793.49
1978-01-13	775.73
1978-01-20	776.94
1978-01-27	764.12
1978-02-03	770.96
1978-02-10	775.99
1978-02-17	752.69
1978-02-24	756.24
1978-03-03	747.31
1978-03-10	758.58
1978-03-17	768.71
1978-03-24	756.5
1978-03-31	757.36
1978-04-07	769.58
1978-04-14	795.13
1978-04-21	812.8
1978-04-28	837.32
1978-05-05	829.09
1978-05-12	840.7
1978-05-19	846.85
1978-05-26	831.69
1978-06-02	847.54
1978-06-09	859.23
1978-06-16	836.97
1978-06-23	823.02
1978-06-30	818.95
1978-07-07	812.46
1978-07-14	839.83
1978-07-21	833.42
1978-07-28	856.29
1978-08-04	888.43
1978-08-11	890.85
1978-08-18	896.83
1978-08-25	895.53
1978-09-01	879.33
1978-09-08	907.74
1978-09-15	878.55
1978-09-22	862.44
1978-09-29	865.82
1978-10-06	880.02
1978-10-13	897.09
1978-10-20	838.01
1978-10-27	806.05
1978-11-03	823.11
1978-11-10	807.09
1978-11-17	797.73
1978-11-24	810.12
1978-12-01	811.5
1978-12-08	811.85
1978-12-15	805.35
1978-12-22	808.47
1978-12-29	805.01
1979-01-05	830.73
1979-01-12	836.28
1979-01-19	837.49
1979-01-26	859.75
1979-02-02	834.63
1979-02-09	822.23
1979-02-16	827.01
1979-02-23	823.28
1979-03-02	815.75
1979-03-09	842.86
1979-03-16	852.82
1979-03-23	859.75
1979-03-30	862.18
1979-04-06	875.69
1979-04-13	870.5
1979-04-20	856.98
1979-04-27	856.64
1979-05-04	847.54
1979-05-11	830.56
1979-05-18	841.91
1979-05-25	836.28
1979-06-01	821.21
1979-06-08	835.15
1979-06-15	843.3
1979-06-22	849.1
1979-06-29	841.98
1979-07-06	846.16
1979-07-13	833.53
1979-07-20	828.07
1979-07-27	839.76
1979-08-03	846.16
1979-08-10	867.06
1979-08-17	883.36
1979-08-24	880.2
1979-08-31	887.63
1979-09-07	874.15
1979-09-14	879.1
1979-09-21	893.94
1979-09-28	878.58
1979-10-05	897.61
1979-10-12	838.99
